model,frame_no,poles,kw,rpm_50hz,rpm_60hz,source_pdf,source_pages,check_status,notes
200L1-2P,200L1,2,30,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-4P,200L1,4,30,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-6P,200L1,6,18.5,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L1-8P,200L1,8,15,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L2-2P,200L2,2,37,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
200L2-6P,200L2,6,22,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225S-4P,225S,4,37,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225S-8P,225S,8,18.5,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-2P,225M,2,45,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-4P,225M,4,45,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-6P,225M,6,30,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
225M-8P,225M,8,22,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-2P,250M,2,55,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-4P,250M,4,55,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-6P,250M,6,37,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
250M-8P,250M,8,30,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-2P,280S,2,75,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-4P,280S,4,75,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-6P,280S,6,45,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280S-8P,280S,8,37,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280M-2P,280M,2,90,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280M-4P,280M,4,90,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280M-6P,280M,6,55,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
280M-8P,280M,8,45,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315S-2P,315S,2,110,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315S-4P,315S,4,110,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315S-6P,315S,6,75,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315S-8P,315S,8,55,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315S-10P,315S,10,45,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315M-2P,315M,2,132,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315M-4P,315M,4,132,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315M-6P,315M,6,90,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315M-8P,315M,8,75,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315M-10P,315M,10,55,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L1-2P,315L1,2,160,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L1-4P,315L1,4,160,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L1-6P,315L1,6,110,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L1-8P,315L1,8,90,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L1-10P,315L1,10,75,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L2-2P,315L2,2,200,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L2-4P,315L2,4,200,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L2-6P,315L2,6,132,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L2-8P,315L2,8,110,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
315L2-10P,315L2,10,90,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M1-6P,355M1,6,160,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M1-8P,355M1,8,132,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M1-10P,355M1,10,110,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M2-2P,355M2,2,250,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame number was not confidently found in OCR text. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M2-4P,355M2,4,250,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame number was not confidently found in OCR text. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M2-6P,355M2,6,200,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M2-8P,355M2,8,160,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355M2-10P,355M2,10,132,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355L-2P,355L,2,315,2900,3450,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=2900 and rpm_60hz=3450; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355L-4P,355L,4,315,1450,1730,raw_catalog/mecc_motor.pdf,PDF page 2; pdf_extract_jpeg/mecc_motor_page-0002.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=1450 and rpm_60hz=1730; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355L-6P,355L,6,250,960,1140,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=960 and rpm_60hz=1140; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355L-8P,355L,8,200,720,850,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Frame, kW, and pole section found in OCR text for the mapped PDF page. CSV rpm_50hz=720 and rpm_60hz=850; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
355L-10P,355L,10,160,580,700,raw_catalog/mecc_motor.pdf,PDF page 3; pdf_extract_jpeg/mecc_motor_page-0003.jpg,needs_review,"Pole/synchronous-speed section was not confidently found in OCR text. CSV rpm_50hz=580 and rpm_60hz=700; PDF rating table shows frame-specific full-load RPM values, so RPM must be manually reviewed before treating these as exact catalog speeds."
